id,name,github_url,description,maintainer,category,subcategory,tags,stars_approx,license,last_activity,entry_count_approx,format,has_contributions_guide,editorial_notes,related_lists,added_date,stars_count,forks_count,last_commit_date,open_issues_count,is_archived,created_year,watchers_count,list_type,audience_level,use_cases,has_website,website_url,is_awesome_verified,language_focus,overlaps_with,best_sections,quality_score,getting_started,suggested_projects,featured_example
awesome-chatgpt-sindresorhus,Awesome ChatGPT,https://github.com/sindresorhus/awesome-chatgpt,"A curated list of awesome ChatGPT resources including tools, apps, browser extensions, and developer integrations.",sindresorhus,AI & Machine Learning,ChatGPT,chatgpt|openai|gpt|tools,6.2k,CC0-1.0,2026,100+,markdown,TRUE,"Sindresorhus quality — strict curation with a focus on tools, browser extensions, and developer integrations for ChatGPT. Less about prompts, more about the ecosystem around ChatGPT.",awesome-chatgpt-prompts|awesome-chatgpt-humanloop,2026-04-05,6223,435,2026-02-15,6,FALSE,2023,6223,tools,intermediate,finding ChatGPT tools|discovering browser extensions|ChatGPT developer integrations,FALSE,,TRUE,,awesome-chatgpt-prompts|awesome-chatgpt-humanloop,Official|Browser Extensions|Developer Tools,7,"Start with the 'Official' section for direct OpenAI resources, then explore 'Browser Extensions' for tools that enhance your daily ChatGPT usage — skip to 'Developer Tools' when you're ready to build.",Build a browser extension that adds custom features to the ChatGPT interface using tools listed here as inspiration|Create a ChatGPT integration hub that connects ChatGPT to your developer workflow tools|Develop a CLI wrapper around the ChatGPT API that incorporates the best developer tools from this list,
ai-collection,AI Collection,https://github.com/ai-collection/ai-collection,"A comprehensive directory of generative AI applications across industries, from copywriting to video generation.",ai-collection,AI & Machine Learning,AI Tools Directory,generative-ai|ai-tools|directory|saas,8.8k,MIT,2026,900+,markdown,TRUE,"Massive directory of generative AI products and services organized by use case (art, code, copywriting, gaming, etc.). Particularly useful for discovering commercial AI tools across verticals.",awesome-generative-ai|awesome-ai-tools,2026-04-05,8907,970,2026-05-01,49,FALSE,2023,8907,tools,all,discovering AI SaaS products|finding generative AI tools by category|AI tool landscape exploration,TRUE,https://ai-collection.org,FALSE,,awesome-generative-ai|awesome-ai-tools,Art & Image Generation|Code & Database Assistant|Text & Writing,7,"Use the category headings (Art, Code, Copywriting, Video, etc.) as your primary navigation — this is a product directory, so browse by the task you need an AI tool for rather than by technology.","Build an AI tool comparison site that aggregates pricing, features, and user reviews for tools listed here|Create a workflow automator that chains multiple AI tools from different categories into a single pipeline|Develop a 'best AI tool for X' recommendation engine based on categorized entries from this list",
awesome-generative-ai,Awesome Generative AI,https://github.com/steven2358/awesome-generative-ai,"A curated list of modern generative AI projects, services, tools, and research references.",steven2358,AI & Machine Learning,Generative AI,generative-ai|diffusion|llm|image-generation,12k,CC0-1.0,2026,300+,markdown,TRUE,"Covers the full generative AI spectrum — text, image, audio, video, and code generation. Well-organized with clear categories and regular updates tracking the fast-moving generative AI space.",ai-collection|awesome-chatgpt-prompts,2026-04-05,11926,1567,2026-04-29,223,FALSE,2022,11926,mixed,intermediate,tracking generative AI tools|finding AI research references|exploring text/image/audio generation,FALSE,,FALSE,,ai-collection|awesome-chatgpt-prompts,Text Generation|Image Generation|Audio Generation,9,"Navigate by modality — text, image, audio, or video generation — to find tools for your specific creative or technical need, then check the research section for papers behind the tools.","Build a multi-modal content generator that chains text, image, and audio tools from this list into a creative pipeline|Create a generative AI landscape visualization showing tool relationships and capabilities across modalities|Develop a side-by-side comparison tool for image generation services listed here",
awesome-deep-learning,Awesome Deep Learning,https://github.com/ChristosChristofidis/awesome-deep-learning,"A curated list of deep learning tutorials, projects, frameworks, libraries, and research papers.",ChristosChristofidis,AI & Machine Learning,Deep Learning,deep-learning|neural-networks|tutorials|research,452k,CC0-1.0,2026,500+,markdown,TRUE,One of the highest-starred lists on all of GitHub. Comprehensive deep learning resource covering everything from introductory courses to cutting-edge papers. Strong emphasis on learning paths.,deep-learning-papers-reading-roadmap|machine-learning-tutorials,2026-04-05,28001,6295,2025-05-26,73,FALSE,2015,28001,tutorials,intermediate,learning deep learning|finding DL research papers|discovering DL frameworks,FALSE,,TRUE,,deep-learning-papers-reading-roadmap|machine-learning-tutorials,Courses|Frameworks|Papers,9,"Start with the 'Courses' section to build foundations, then use the 'Frameworks' section to choose your tools — the 'Papers' section is best approached after you have hands-on experience.",Build a deep learning study planner that creates a personalized curriculum from courses and papers in this list|Create a framework comparison benchmark that evaluates DL frameworks listed here on standard tasks|Develop an interactive paper reading group app that organizes papers from this list into a reading sequence,
machine-learning-tutorials,Machine Learning Tutorials,https://github.com/ujjwalkarn/Machine-Learning-Tutorials,"A comprehensive collection of machine learning and deep learning tutorials, articles, and resources.",ujjwalkarn,AI & Machine Learning,Tutorials,machine-learning|tutorials|deep-learning|learning,73k,MIT,2026,300+,markdown,TRUE,"Focused purely on learning resources — tutorials, blog posts, and articles organized by ML topic. Great starting point for self-learners covering basics through advanced topics like NLP and computer vision.",awesome-machine-learning|awesome-deep-learning,2026-04-05,17772,3991,2024-06-12,46,FALSE,2015,17772,tutorials,beginner,learning machine learning|finding ML blog posts|self-study ML curriculum,FALSE,,FALSE,,awesome-machine-learning|awesome-deep-learning,Basics & Fundamentals|NLP|Computer Vision,7,"Navigate by topic (NLP, Computer Vision, Basics) rather than scrolling linearly — pick one topic that matches your learning goal, work through those tutorials, then expand to adjacent topics.",Build a tutorial progress tracker that lets you mark completion and rate tutorials from this list|Create an ML learning path generator that sequences tutorials from this list based on your skill level|Develop a hands-on ML notebook collection that implements key concepts from the linked tutorials,
deep-learning-papers-reading-roadmap,Deep Learning Papers Reading Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,A structured reading roadmap of deep learning papers organized from foundational to cutting-edge research.,floodsung,AI & Machine Learning,Research Papers,deep-learning|papers|research|reading-list,158k,CC0-1.0,2026,100+,markdown,TRUE,"Invaluable for researchers — provides a structured progression from foundational papers (AlexNet, ResNet) through modern architectures. Papers are organized by topic and difficulty level.",awesome-deep-learning|awesome-llm,2026-04-05,39500,7308,2022-11-27,92,FALSE,2016,39500,papers,advanced,structured DL paper reading|understanding DL foundations|research paper navigation,FALSE,,FALSE,,awesome-deep-learning|awesome-llm,1 Deep Learning History|2 Deep Learning Method|3 Applications,6,"Follow the numbered progression strictly — start with section 1 (DL History) to understand foundational papers before jumping to section 2 (Methods), as each paper builds on concepts from earlier ones.",Build an interactive paper graph that visualizes citation relationships between papers in this roadmap|Create a spaced-repetition flashcard system for key concepts from each paper in the reading order|Develop a paper summary aggregator that collects community summaries and notes for each paper listed,"{""name"": ""Deep Learning History section"", ""url"": ""https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap#1-deep-learning-history-and-basics"", ""why"": ""The structured progression from AlexNet through ResNet to modern architectures provides the most effective self-study path for understanding how deep learning evolved""}"
free-programming-books,Free Programming Books,https://github.com/EbookFoundation/free-programming-books,"A massive, multi-language collection of free learning resources — books, courses, interactive tutorials, podcasts, and more.",EbookFoundation,AI & Machine Learning,Learning Resources,books|free-resources|programming|learning|education,341k,CC-BY-4.0,2026,5000+,markdown,TRUE,"The largest free programming resource list on GitHub, available in 40+ languages. Covers every programming language and technology. Includes free courses, interactive tutorials, podcasts, and problem sets alongside books.",machine-learning-tutorials|ai-for-beginners,2026-04-05,387447,66208,2026-04-24,79,FALSE,2013,387447,tutorials,all,finding free programming books|discovering free courses|multi-language learning resources,TRUE,https://ebookfoundation.github.io/free-programming-books/,TRUE,,machine-learning-tutorials|project-based-learning,Books|Interactive Tutorials|Podcasts,10,Use the language-specific sub-pages (not the main README) — navigate to your programming language's dedicated file for a much more organized and complete listing than the overview page.,"Build a free learning resource aggregator with search, filtering by language and format (book, course, podcast)|Create a reading list app that lets users curate personal selections from this massive collection|Develop a 'what to learn next' recommender based on a user's current skills and this list's offerings","{""name"": ""Free Programming Books (English)"", ""url"": ""https://github.com/EbookFoundation/free-programming-books/blob/main/books/free-programming-books-langs.md"", ""why"": ""The English-language programming books file alone contains thousands of curated free resources organized by language, making it the single most comprehensive free learning resource on GitHub""}"
ai-for-beginners,AI For Beginners,https://github.com/microsoft/AI-For-Beginners,"Microsoft's 12-week, 24-lesson curriculum covering foundational AI concepts from symbolic AI to neural networks.",microsoft,AI & Machine Learning,Courses,ai|curriculum|microsoft|education|beginners,74k,MIT,2026,24 lessons,mixed,TRUE,"Structured university-style curriculum from Microsoft. Covers symbolic AI, neural networks, computer vision, and NLP with hands-on labs using TensorFlow and PyTorch. Excellent for complete beginners.",generative-ai-for-beginners|ai-agents-for-beginners,2026-04-05,47093,9675,2026-04-24,2,FALSE,2021,47093,tutorials,beginner,learning AI fundamentals|structured AI curriculum|hands-on AI labs,TRUE,https://microsoft.github.io/AI-For-Beginners/,FALSE,python,generative-ai-for-beginners|ai-agents-for-beginners,Neural Networks|Computer Vision|Natural Language Processing,7,"Follow the 12-week lesson plan sequentially — each lesson builds on the previous one, with hands-on labs in each module. Start with Lesson 1 and resist the urge to skip ahead.",Build an AI concepts quiz app using the curriculum structure as a content framework|Create a visual AI learning dashboard that tracks progress through all 24 lessons with lab completion status|Develop a study group platform tailored to this curriculum's weekly structure with discussion forums per lesson,"{""name"": ""Neural Networks lesson"", ""url"": ""https://github.com/microsoft/AI-For-Beginners/tree/main/lessons/4-ComputerVision"", ""why"": ""The Computer Vision module is the most hands-on section with practical TensorFlow and PyTorch labs that transform theoretical concepts into working code""}"
generative-ai-for-beginners,Generative AI for Beginners,https://github.com/microsoft/generative-ai-for-beginners,Microsoft's 21-lesson course teaching everything needed to start building generative AI applications.,microsoft,AI & Machine Learning,Courses,generative-ai|curriculum|microsoft|llm|beginners,90k,MIT,2026,21 lessons,mixed,TRUE,"Picks up where AI-For-Beginners leaves off, focusing specifically on generative AI. Covers prompt engineering, RAG, fine-tuning, and building LLM-powered apps. Hands-on with Python notebooks.",ai-for-beginners|ai-agents-for-beginners,2026-04-05,110067,59057,2026-04-30,6,FALSE,2023,110067,tutorials,beginner,learning generative AI|building LLM applications|prompt engineering basics,TRUE,https://microsoft.github.io/generative-ai-for-beginners/,FALSE,python,ai-for-beginners|ai-agents-for-beginners,Prompt Engineering|Building Search Apps|Fine-Tuning,8,Work through lessons 1-5 (fundamentals and prompt engineering) before jumping to application-building lessons — the RAG and fine-tuning lessons assume you've mastered the prompting foundations.,"Build a generative AI application following the RAG pattern taught in this course, using your own document corpus|Create a prompt engineering practice platform with exercises based on each lesson's techniques|Develop a multi-model chatbot that demonstrates concepts from each lesson in an interactive format","{""name"": ""Building Search Applications lesson"", ""url"": ""https://github.com/microsoft/generative-ai-for-beginners/tree/main/08-building-search-applications"", ""why"": ""The search applications lesson provides the most immediately practical skill \u2014 building RAG-powered search \u2014 with complete working code that can be adapted to real projects""}"
ai-agents-for-beginners,AI Agents for Beginners,https://github.com/microsoft/ai-agents-for-beginners,"Microsoft's course on designing and building AI agents, covering agent architectures, tool use, and multi-agent patterns.",microsoft,AI & Machine Learning,AI Agents,ai-agents|curriculum|microsoft|llm|beginners,56k,MIT,2026,15 lessons,mixed,TRUE,"The newest in Microsoft's beginner series, focused on agentic AI. Covers agent design patterns, tool integration, multi-agent orchestration, and real-world deployment. Timely given the 2025-2026 agent boom.",generative-ai-for-beginners|awesome-llm-agents,2026-04-05,60247,20391,2026-04-30,5,FALSE,2024,60247,tutorials,beginner,learning AI agent design|understanding agent architectures|building multi-agent systems,TRUE,https://microsoft.github.io/ai-agents-for-beginners/,FALSE,python,generative-ai-for-beginners|awesome-ai-agents,Agent Design Patterns|Tool Use|Multi-Agent Orchestration,8,"Begin with the agent design patterns lesson to understand the conceptual framework, then progress through tool use and multi-agent orchestration — each lesson includes runnable code samples.",Build a multi-agent system where agents with different roles collaborate to solve a complex task using patterns from this course|Create a tool-use playground where you can define custom tools and watch an agent learn to use them|Develop an agent evaluation harness that benchmarks different agent architectures covered in the lessons,"{""name"": ""Multi-Agent Orchestration lesson"", ""url"": ""https://github.com/microsoft/ai-agents-for-beginners"", ""why"": ""The multi-agent orchestration lesson covers the most in-demand skill in the current AI landscape, with practical examples of agents coordinating to solve complex tasks""}"
llms-from-scratch,LLMs from Scratch,https://github.com/rasbt/LLMs-from-scratch,"Code for building a large language model from scratch, step by step, accompanying the book 'Build a Large Language Model From Scratch'.",rasbt,AI & Machine Learning,LLM Implementation,llm|implementation|from-scratch|education|pytorch,385k,CC-BY-4.0,2026,7 chapters,mixed,TRUE,Extraordinary educational resource — walks through implementing a GPT-style model from scratch in PyTorch. Accompanying code for Sebastian Raschka's book. One of the most starred repos in the AI space.,awesome-llm|awesome-deep-learning,2026-04-05,91768,14144,2026-04-16,5,FALSE,2023,91768,tutorials,advanced,understanding LLM internals|building GPT from scratch|deep learning implementation,TRUE,https://www.manning.com/books/build-a-large-language-model-from-scratch,FALSE,python,awesome-llm|awesome-deep-learning,Tokenization|Attention Mechanisms|Pretraining,8,"Follow the chapters sequentially from tokenization through pretraining — this is a linear tutorial, not a reference. Have a GPU-capable machine ready (even a free Colab GPU works) for the training chapters.","Build a miniature GPT model from scratch following the book's architecture, then fine-tune it on a custom dataset|Create a visualization tool that shows attention patterns and token embeddings at each layer of the model you build|Develop a comparative study implementing the model in both PyTorch (as in the book) and JAX to deepen understanding","{""name"": ""Chapter on Attention Mechanisms"", ""url"": ""https://github.com/rasbt/LLMs-from-scratch/tree/main/ch03"", ""why"": ""The attention mechanism chapter is the conceptual core \u2014 understanding self-attention from scratch is the single most important insight for grasping how modern LLMs work""}"
prompt-engineering-notebooks,Prompt Engineering Notebooks,https://github.com/NirDiamant/Prompt_Engineering,A collection of 22 runnable Jupyter notebooks covering prompt engineering techniques from basic to advanced.,NirDiamant,AI & Machine Learning,Prompt Engineering,prompt-engineering|jupyter|notebooks|hands-on,7.4k,Unknown,2026,22 notebooks,mixed,TRUE,"Stands out for being entirely runnable — every technique has an executable Jupyter notebook. Covers chain-of-thought, few-shot, self-consistency, tree-of-thought, and more with working code.",prompt-engineering-guide|awesome-prompt-engineering,2026-04-05,7455,967,2026-04-15,3,FALSE,2024,7455,tutorials,intermediate,hands-on prompt engineering|running prompt experiments|learning prompting techniques,FALSE,,FALSE,python,prompt-engineering-guide|awesome-prompt-engineering,Chain-of-Thought|Few-Shot Learning|Tree-of-Thought,5,"Open the notebooks in order, starting with basic prompting techniques — each notebook is self-contained and runnable, so execute the cells as you read to see techniques in action.",Build a prompt technique benchmark that runs each notebook's approach against a standard evaluation set|Create an interactive prompt engineering tutorial that adapts the notebook content into a web-based learning platform|Develop a prompt optimization pipeline that automatically tests and compares techniques from different notebooks,"{""name"": ""Chain-of-Thought Notebook"", ""url"": ""https://github.com/NirDiamant/Prompt_Engineering"", ""why"": ""The chain-of-thought notebook provides the clearest hands-on demonstration of how structured reasoning prompts dramatically improve LLM output quality""}"
awesome-chatgpt-humanloop,Awesome ChatGPT (Humanloop),https://github.com/humanloop/awesome-chatgpt,"A curated list of tools, demos, and articles related to ChatGPT and GPT-3/4.",humanloop,AI & Machine Learning,ChatGPT,chatgpt|gpt-4|tools|demos,8.2k,Unknown,2025,200+,markdown,TRUE,"Maintained by the Humanloop team (an AI company), giving it a practitioner's perspective. Strong coverage of developer tools, APIs, and integrations rather than just consumer-facing apps.",awesome-chatgpt-sindresorhus|awesome-chatgpt-prompts,2026-04-05,8229,544,2025-10-15,132,FALSE,2022,8229,tools,intermediate,finding ChatGPT developer tools|ChatGPT API integrations|GPT ecosystem exploration,FALSE,,FALSE,,awesome-chatgpt-sindresorhus|awesome-chatgpt-prompts,Developer Tools|APIs|Research,7,"Focus on the 'Developer Tools' and 'APIs' sections for building with ChatGPT — this list is curated by practitioners at Humanloop, so the developer-focused entries are particularly well-vetted.",Build a ChatGPT API wrapper library that incorporates the best patterns from developer tools listed here|Create an integration comparison tool that evaluates ChatGPT tools listed here against common use cases|Develop a ChatGPT-powered internal tool using the API integrations catalogued in this list,
